Método,Classe,Variável,mínimo,máximo,primeiro_quartil,média,mediana,terceiro_quartil,desvio_relativo_média
KMedoids_RF_k4,1,a_vl_m2_construcao,0.0,2846.0,1485.0,1638.25,1590.0,2040.0,0.25
KMedoids_RF_k4,1,comp_res,-0.29,52.48,-0.27,-0.02,-0.2,-0.02,-31.89
KMedoids_RF_k4,1,outros_usos,-0.11,47.84,-0.11,-0.04,-0.09,-0.06,-12.25
KMedoids_RF_k4,1,KMeans_RF_k4,0.0,3.0,0.0,0.01,0.0,0.0,21.42
KMedoids_RF_k4,1,Spectral_RF_k4,0.0,3.0,0.0,0.09,0.0,0.0,5.54
KMedoids_RF_k4,2,densidade_hec,0.0,1224.63,66.86,156.2,121.65,201.5,0.89
KMedoids_RF_k4,2,qd_area,48.45,2118681.93,7756.99,16985.28,11525.16,18315.12,2.27
KMedoids_RF_k4,2,mobilidade,26.1,5712.55,348.01,774.59,586.34,970.16,0.81
KMedoids_RF_k4,2,ap_h,0.0,36.0,0.0,1.1,0.0,1.0,2.47
KMedoids_RF_k4,2,ap_v,0.0,677.0,0.0,12.92,0.0,0.0,3.25
KMedoids_RF_k4,2,bp_h,0.0,97.0,0.0,1.45,0.0,1.0,3.32
KMedoids_RF_k4,2,bp_v,0.0,1481.0,0.0,8.25,0.0,0.0,5.9
KMedoids_RF_k4,2,com,0.0,4042.0,3.0,55.55,9.0,34.0,2.62
KMedoids_RF_k4,2,mp_h,0.0,431.0,1.0,18.69,10.0,26.0,1.46
KMedoids_RF_k4,2,mp_v,0.0,3680.0,71.0,262.2,172.0,342.0,1.2
KMedoids_RF_k4,2,outros,0.0,853.0,0.0,3.7,1.0,2.0,8.06
KMedoids_RF_k4,2,ter,0.0,185.0,0.0,1.51,0.0,1.0,3.41
KMedoids_RF_k4,2,equipamentos,210.16,2090.09,787.93,995.23,969.21,1198.93,0.31
KMedoids_RF_k4,2,fator_com,0.0,1.0,0.01,0.16,0.04,0.14,1.67
KMedoids_RF_k4,2,qtda_pav,4.0,49.0,13.0,16.85,16.0,20.0,0.32
KMedoids_RF_k4,2,aap_h,0.0,7580874.45,0.0,23425.37,0.0,14479.31,6.8
KMedoids_RF_k4,2,aap_v,0.0,125015706.15,0.0,351818.14,0.0,0.0,9.13
KMedoids_RF_k4,2,abp_h,0.0,5407894.36,0.0,34901.48,0.0,10175.02,5.57
KMedoids_RF_k4,2,abp_v,0.0,130696599.12,0.0,234952.43,0.0,0.0,13.54
KMedoids_RF_k4,2,acom,0.0,232207747.01,25217.6,1186398.83,104594.74,508905.5,5.76
KMedoids_RF_k4,2,amp_h,0.0,93286177.75,7942.81,437045.35,104824.27,358765.07,5.04
KMedoids_RF_k4,2,amp_v,0.0,1036600274.26,536287.54,6844660.95,1852649.28,5089108.44,4.18
KMedoids_RF_k4,2,aoutros,0.0,16760531.23,0.0,74978.33,9989.55,35187.48,6.89
KMedoids_RF_k4,2,ater,0.0,20619978.51,0.0,45871.65,0.0,21014.6,8.74
KMedoids_RF_k4,2,vl_m2_terreno,247.0,34383.0,2321.0,5406.31,3801.0,7552.43,0.81
KMedoids_RF_k4,2,a_vl_m2_construcao,1203.0,4360.0,2398.37,3101.21,3424.54,3429.0,0.18
KMedoids_RF_k4,2,comp_res,-0.29,79.56,-0.29,0.1,-0.24,-0.04,22.92
KMedoids_RF_k4,2,outros_usos,-0.11,35.1,-0.11,0.08,-0.08,-0.01,14.23
KMedoids_RF_k4,2,KMeans_RF_k4,1.0,3.0,3.0,3.0,3.0,3.0,0.03
KMedoids_RF_k4,2,Spectral_RF_k4,0.0,2.0,2.0,1.7,2.0,2.0,0.42
KMedoids_RF_k4,3,densidade_hec,0.0,1516.67,35.4,82.36,74.13,113.84,0.8
KMedoids_RF_k4,3,qd_area,10.42,5240598.72,4979.01,12716.24,8081.17,12534.93,4.72
KMedoids_RF_k4,3,mobilidade,11.43,4137.9,508.82,916.67,813.38,1274.69,0.56
KMedoids_RF_k4,3,ap_h,0.0,104.0,0.0,2.72,0.0,3.0,2.14
KMedoids_RF_k4,3,ap_v,0.0,424.0,0.0,0.27,0.0,0.0,22.63
KMedoids_RF_k4,3,bp_h,0.0,97.0,0.0,2.26,0.0,2.0,2.36
KMedoids_RF_k4,3,bp_v,0.0,1345.0,0.0,4.13,0.0,0.0,9.39
KMedoids_RF_k4,3,com,0.0,618.0,0.0,5.24,2.0,6.0,2.69
KMedoids_RF_k4,3,mp_h,0.0,807.0,5.0,23.89,19.0,34.0,1.13
KMedoids_RF_k4,3,mp_v,0.0,2145.0,0.0,11.65,0.0,0.0,4.94
KMedoids_RF_k4,3,outros,0.0,169.0,0.0,2.22,1.0,3.0,1.88
KMedoids_RF_k4,3,ter,0.0,209.0,0.0,1.05,0.0,1.0,3.64
KMedoids_RF_k4,3,equipamentos,278.36,3858.29,882.45,1079.79,1037.23,1218.69,0.26
KMedoids_RF_k4,3,fator_com,0.0,1.0,0.0,0.14,0.05,0.17,1.54
KMedoids_RF_k4,3,qtda_pav,0.0,14.0,2.0,2.19,2.0,2.0,0.72
KMedoids_RF_k4,3,aap_h,0.0,14204531.93,0.0,41895.84,0.0,22179.67,5.43
KMedoids_RF_k4,3,aap_v,0.0,52993509.32,0.0,8883.25,0.0,0.0,58.61
KMedoids_RF_k4,3,abp_h,0.0,10002514.43,0.0,28245.6,0.0,18282.4,4.95
KMedoids_RF_k4,3,abp_v,0.0,110241228.37,0.0,109357.65,0.0,0.0,17.14
KMedoids_RF_k4,3,acom,0.0,47869136.95,0.0,79170.39,13075.42,51098.59,7.32
KMedoids_RF_k4,3,amp_h,0.0,36384052.34,25250.44,302294.84,118248.63,304846.82,2.84
KMedoids_RF_k4,3,amp_v,0.0,316481074.93,0.0,266575.18,0.0,0.0,14.67
KMedoids_RF_k4,3,aoutros,0.0,75017684.26,0.0,52043.3,6753.84,27895.98,14.66
KMedoids_RF_k4,3,ater,0.0,26202993.62,0.0,21948.86,0.0,11165.59,13.67
KMedoids_RF_k4,3,vl_m2_terreno,110.0,32351.0,1383.0,2469.99,2024.0,2941.0,0.74
KMedoids_RF_k4,3,a_vl_m2_construcao,0.0,3991.0,2040.0,2337.28,2040.0,2846.0,0.2
KMedoids_RF_k4,3,comp_res,-0.29,49.42,-0.29,-0.05,-0.24,-0.09,-17.92
KMedoids_RF_k4,3,outros_usos,-0.11,138.89,-0.11,0.01,-0.09,-0.04,158.87
KMedoids_RF_k4,3,KMeans_RF_k4,0.0,3.0,0.0,0.13,0.0,0.0,4.61
KMedoids_RF_k4,3,Spectral_RF_k4,0.0,3.0,0.0,0.34,0.0,1.0,1.44
KMeans_RF_k4,0,densidade_hec,0.0,1735.03,70.94,129.33,119.08,169.96,0.68
